,Количество лайков,Количество треков,Количество альбомов,Жанры,Страница Википедии
John Dahlbäck,1923,260,83,[],http://en.wikipedia.org/wiki/John Dahlbäck
Laura Pausini,2966,402,53,"['pop', 'soundtrack']",http://en.wikipedia.org/wiki/Laura Pausini
Dennis Brown,6788,1314,152,"['reggae', 'folk', 'ska']",http://en.wikipedia.org/wiki/Dennis Brown
Jenny Lewis,364,73,13,['foreignbard'],http://en.wikipedia.org/wiki/Jenny Lewis
Richard Strauss,37468,20711,1437,"['classical', 'classicalmasterpieces', 'vocal']",
Esbjörn Svensson Trio,279,87,6,['jazz'],http://en.wikipedia.org/wiki/Esbjörn Svensson
Vanessa da Mata,818,123,4,"['latinfolk', 'pop', 'folk']",http://en.wikipedia.org/wiki/Vanessa da Mata
Schiller,12881,264,12,"['pop', 'electronics', 'techno']",http://en.wikipedia.org/wiki/Schiller (band)
British Sea Power,2578,160,19,['indie'],http://en.wikipedia.org/wiki/Sea Power
Mary Wells,516,340,66,"['rnb', 'jazz', 'soul']",http://en.wikipedia.org/wiki/Mary Wells
Conor Oberst,267,68,14,"['alternative', 'foreignbard', 'country']",http://en.wikipedia.org/wiki/Conor Oberst
Sunny Day Real Estate,2942,45,6,"['alternative', 'rock', 'electronics']",http://en.wikipedia.org/wiki/Sunny Day Real Estate
The Black Dahlia Murder,4288,92,10,['deathmetal'],http://en.wikipedia.org/wiki/The Black Dahlia Murder (band)
Born Ruffians,100,73,8,"['rock', 'alternative', 'newage']",http://en.wikipedia.org/wiki/Born Ruffians
Hybrid,17040,233,39,['breakbeatgenre'],http://en.wikipedia.org/wiki/Hybrid (British band)
The Box Tops,21438,38,2,"['pop', 'rock', 'alternative']",http://en.wikipedia.org/wiki/The Box Tops
Midtown,145,67,10,"['pop', 'holiday', 'rap']",http://en.wikipedia.org/wiki/Midtown (band)
The Gathering,10078,152,15,['alternative'],http://en.wikipedia.org/wiki/The Gathering (band)
Meiko,920,120,29,"['foreignbard', 'folk', 'pop']",http://en.wikipedia.org/wiki/Meiko (American singer)
Sirenia,25900,98,12,['gothicmetal'],http://en.wikipedia.org/wiki/Sirenia (band)
Mount Eerie,528,193,28,['indie'],http://en.wikipedia.org/wiki/Mount Eerie
Dirty Vegas,762,95,32,"['dance', 'house', 'electronics']",http://en.wikipedia.org/wiki/Dirty Vegas
Kardinal Offishall,1586,163,30,"['rap', 'rnb', 'dance']",http://en.wikipedia.org/wiki/Kardinal Offishall
Slow Club,114,26,6,"['alternative', 'rock']",http://en.wikipedia.org/wiki/Slow Club
Smokie,110104,301,4,"['rock', 'pop', 'holiday']",http://en.wikipedia.org/wiki/Smokie (band)
Kaleo,331295,23,7,"['alternative', 'rock', 'indie']",http://en.wikipedia.org/wiki/Kaleo (band)
Buju Banton,5806,560,49,"['reggae', 'reggaeton', 'folk']",http://en.wikipedia.org/wiki/Buju Banton
Grandmaster Flash & The Furious Five,93,37,2,['rap'],
Technotronic,5597,59,11,"['dance', 'electronics', 'pop']",http://en.wikipedia.org/wiki/Technotronic
Black Moth Super Rainbow,1019,118,11,"['electronics', 'rock', 'experimental']",http://en.wikipedia.org/wiki/Black Moth Super Rainbow
Caliban,13377,122,4,['metalcoregenre'],http://en.wikipedia.org/wiki/Caliban (band)
Zaz,314022,107,15,"['pop', 'estrada', 'newage']",http://en.wikipedia.org/wiki/Zaz (singer)
Jóhann Jóhannsson,5619,381,32,['ambientgenre'],http://en.wikipedia.org/wiki/Jóhann Jóhannsson
Bishop Allen,136,86,6,"['pop', 'folkrock', 'alternative']",http://en.wikipedia.org/wiki/Bishop Allen
Gilberto Gil,1050,657,57,"['latinfolk', 'folk', 'pop']",http://en.wikipedia.org/wiki/Gilberto Gil
Patrice,380,284,44,"['pop', 'estrada', 'foreignrap']",http://en.wikipedia.org/wiki/Patrice Bart-Williams
Jess Glynne,23145,87,21,"['pop', 'dance', 'rnb']",http://en.wikipedia.org/wiki/Jess Glynne
Rhapsody of Fire,9369,140,19,['epicmetal'],http://en.wikipedia.org/wiki/Rhapsody of Fire
Tarja,56877,241,49,['epicmetal'],http://en.wikipedia.org/wiki/Tarja Turunen
Magnetic Man,20118,21,1,['bassgenre'],http://en.wikipedia.org/wiki/Magnetic Man
Element Eighty,26011,35,9,['alternativemetal'],http://en.wikipedia.org/wiki/Element Eighty
Mumm-Ra,119,1,1,[],http://en.wikipedia.org/wiki/Mumm-Ra (band)
Wild Cherry,1039,17,1,"['funk', 'dance', 'rock']",http://en.wikipedia.org/wiki/Wild Cherry (band)
School of Seven Bells,277,48,8,['indie'],http://en.wikipedia.org/wiki/School of Seven Bells
Rebelution,18460,100,11,['reggae'],
Team Sleep,3037,20,3,['alternative'],http://en.wikipedia.org/wiki/Team Sleep
Caravan Palace,38785,41,11,"['electronics', 'dance', 'house']",http://en.wikipedia.org/wiki/Caravan Palace
Jon Brion,436,115,4,"['soundtrack', 'films', 'animated']",http://en.wikipedia.org/wiki/Jon Brion
SZA,28700,71,11,"['pop', 'rnb', 'dance']",http://en.wikipedia.org/wiki/SZA
Eliza Doolittle,395,49,10,"['pop', 'dance', 'electronics']",http://en.wikipedia.org/wiki/Eliza (English singer)
Mano Negra,839,78,8,"['ska', 'rock', 'pop']",http://en.wikipedia.org/wiki/Mano Negra (band)
Telefon Tel Aviv,1891,66,11,['idmgenre'],http://en.wikipedia.org/wiki/Telefon Tel Aviv
Sparks,3638,358,44,"['pop', 'rock', 'soundtrack']",http://en.wikipedia.org/wiki/Sparks (band)
Anita Baker,2129,55,8,"['rnb', 'funk', 'rap']",http://en.wikipedia.org/wiki/Anita Baker
The Perishers,220,60,7,"['alternative', 'rock', 'pop']",http://en.wikipedia.org/wiki/The Perishers (band)
Barry Louis Polisar,30,180,16,"['children', 'folk', 'rock']",http://en.wikipedia.org/wiki/Barry Louis Polisar
Deichkind,1725,146,15,"['dance', 'rap', 'pop']",http://en.wikipedia.org/wiki/Deichkind
Pat Metheny,3016,424,55,"['jazz', 'conjazz', 'classical']",http://en.wikipedia.org/wiki/Pat Metheny
Run the Jewels,22257,93,17,"['rap', 'alternative', 'soundtrack']",http://en.wikipedia.org/wiki/Run the Jewels
Foxes,8800,45,1,['indie'],http://en.wikipedia.org/wiki/Foxes (singer)
Noir Désir,1237,90,12,"['rock', 'pop']",http://en.wikipedia.org/wiki/Noir Désir
Russian Circles,22538,49,10,['postmetal'],http://en.wikipedia.org/wiki/Russian Circles
In This Moment,50729,99,4,['alternativemetal'],http://en.wikipedia.org/wiki/In This Moment
Wet Wet Wet,822,105,13,"['pop', 'soul']",http://en.wikipedia.org/wiki/Wet Wet Wet
Slaughterhouse,4596,140,15,"['rap', 'punk', 'foreignrap']",http://en.wikipedia.org/wiki/Slaughterhouse (group)
Lovage,741,16,1,['triphopgenre'],http://en.wikipedia.org/wiki/Lovage (band)
Geri Halliwell,1847,62,11,['pop'],http://en.wikipedia.org/wiki/Geri Halliwell
The Dubliners,2793,483,50,['celtic'],http://en.wikipedia.org/wiki/The Dubliners
Cheat Codes,69301,146,55,"['dance', 'pop', 'electronics']",http://en.wikipedia.org/wiki/Cheat Codes (DJs)
The Brothers Johnson,4521,107,14,"['rnb', 'funk']",http://en.wikipedia.org/wiki/The Brothers Johnson
Kimbra,3199,109,23,"['pop', 'electronics', 'dance']",http://en.wikipedia.org/wiki/Kimbra
Wynter Gordon,554,50,13,"['dance', 'edmgenre', 'electronics']",http://en.wikipedia.org/wiki/Diana Gordon (singer)
Dr. Alban,116669,169,40,['pop'],http://en.wikipedia.org/wiki/Dr. Alban
Easy Star All‐Stars,1716,6,4,"['reggae', 'pop', 'dance']",http://en.wikipedia.org/wiki/Easy Star All-Stars
amiina,486,46,7,"['alternative', 'pop', 'newage']",http://en.wikipedia.org/wiki/Amiina
Beanie Sigel,519,258,24,"['rap', 'foreignrap', 'rnb']",http://en.wikipedia.org/wiki/Beanie Sigel
Eek-A-Mouse,1147,193,27,"['reggae', 'ska', 'rap']",http://en.wikipedia.org/wiki/Eek-A-Mouse
Heidi Montag,114,21,6,['pop'],http://en.wikipedia.org/wiki/Heidi Montag
Digable Planets,522,37,3,['rap'],http://en.wikipedia.org/wiki/Digable Planets
John Barry,386,1116,99,[],http://en.wikipedia.org/wiki/John Barry (composer)
Moonspell,9475,158,9,['gothicmetal'],http://en.wikipedia.org/wiki/Moonspell
Paco de Lucía,2535,468,40,"['latinfolk', 'jazz', 'pop']",http://en.wikipedia.org/wiki/Paco de Lucía
Eyes Set to Kill,3608,68,7,['posthardcore'],http://en.wikipedia.org/wiki/Eyes Set to Kill
Level 42,902,192,38,"['pop', 'rock', 'dance']",http://en.wikipedia.org/wiki/Level 42
Grouper,45668,66,9,['experimental'],http://en.wikipedia.org/wiki/Grouper (musician)
Pharoahe Monch,731,168,23,"['rap', 'jazz', 'foreignrap']",http://en.wikipedia.org/wiki/Pharoahe Monch
Earshot,4867,24,4,"['alternative', 'rock']",http://en.wikipedia.org/wiki/Earshot
Unearth,1081,80,9,['metalcoregenre'],http://en.wikipedia.org/wiki/Unearth
Ryan Leslie,943,37,2,['rnb'],http://en.wikipedia.org/wiki/Ryan Leslie
High Contrast,29670,171,43,['dnb'],http://en.wikipedia.org/wiki/High Contrast
38 Special,316,101,13,"['rock', 'pop']",http://en.wikipedia.org/wiki/38 Special (band)
J Balvin,119610,330,73,"['pop', 'dance', 'latinfolk']",http://en.wikipedia.org/wiki/J Balvin
The Ventures,126634,992,192,"['rock', 'pop', 'rnr']",http://en.wikipedia.org/wiki/The Ventures
Snakehips,345,50,10,"['pop', 'dance', 'electronics']",http://en.wikipedia.org/wiki/Snakehips (duo)
John Fogerty,12964,136,17,"['rock', 'blues']",http://en.wikipedia.org/wiki/John Fogerty
Indigo Girls,105,203,10,"['folk', 'foreignbard', 'pop']",http://en.wikipedia.org/wiki/Indigo Girls
dEUS,814,64,5,['rock'],http://en.wikipedia.org/wiki/Deus (band)
Steve Reich,1698,161,40,"['classical', 'classicalmasterpieces', 'modern']",http://en.wikipedia.org/wiki/Steve Reich
Scott Walker,1101,194,24,"['pop', 'rock', 'prog']",http://en.wikipedia.org/wiki/Scott Walker (singer)
Luis Bacalov,644,651,53,"['soundtrack', 'films', 'classical']",http://en.wikipedia.org/wiki/Luis Bacalov
La Oreja de Van Gogh,538,111,1,"['pop', 'latinfolk']",http://en.wikipedia.org/wiki/La Oreja de Van Gogh
Guru,632,202,15,['rap'],http://en.wikipedia.org/wiki/Guru (rapper)
Art Blakey & The Jazz Messengers,312,647,87,"['jazz', 'relax', 'pop']",http://en.wikipedia.org/wiki/The Jazz Messengers
The Paper Kites,2513,67,12,"['indie', 'folk', 'foreignbard']",http://en.wikipedia.org/wiki/The Paper Kites
Oingo Boingo,3458,97,17,"['rock', 'ska', 'pop']",http://en.wikipedia.org/wiki/Oingo Boingo
Frank Black,333,81,7,"['alternative', 'rock']",http://en.wikipedia.org/wiki/Black Francis
John Travolta,263,60,9,"['pop', 'soul', 'relax']",http://en.wikipedia.org/wiki/John Travolta
Darlene Love,128,80,11,"['pop', 'holiday', 'rnb']",http://en.wikipedia.org/wiki/Darlene Love
Boy Kill Boy,269,10,1,['rock'],http://en.wikipedia.org/wiki/Boy Kill Boy
Lianne La Havas,5977,69,17,['indie'],http://en.wikipedia.org/wiki/Lianne La Havas
Tinashe,55847,155,8,"['rnb', 'dance', 'pop']",http://en.wikipedia.org/wiki/Tinashe
Corona,9247,60,16,"['dance', 'house', 'pop']",http://en.wikipedia.org/wiki/Corona (band)
Mad Caddies,7429,112,13,"['ska', 'punk', 'rock']",http://en.wikipedia.org/wiki/Mad Caddies
Amber Pacific,594,48,7,"['alternative', 'rock', 'punk']",http://en.wikipedia.org/wiki/Amber Pacific
The Donnas,305,48,8,"['rock', 'alternative']",http://en.wikipedia.org/wiki/The Donnas
Bitter:Sweet,317,33,10,['electronics'],http://en.wikipedia.org/wiki/Bitter:Sweet
Department of Eagles,109,38,4,"['alternative', 'prog', 'folkrock']",http://en.wikipedia.org/wiki/Department of Eagles
Fruit Bats,626,136,16,['folkrock'],http://en.wikipedia.org/wiki/Fruit Bats (band)
Horace Silver,684,972,142,['bebopgenre'],http://en.wikipedia.org/wiki/Horace Silver
Nicky Jam,12683,379,101,"['latinfolk', 'pop', 'reggaeton']",http://en.wikipedia.org/wiki/Nicky Jam
Elmore James,5336,486,83,"['blues', 'jazz', 'pop']",http://en.wikipedia.org/wiki/Elmore James
Bread,468,77,13,"['rock', 'pop', 'foreignbard']",http://en.wikipedia.org/wiki/Bread (band)
Celtic Woman,8802,173,18,"['folk', 'holiday', 'classical']",http://en.wikipedia.org/wiki/Celtic Woman
Culture Beat,4020,58,22,['dance'],http://en.wikipedia.org/wiki/Culture Beat
King Krule,6242,75,10,['alternative'],http://en.wikipedia.org/wiki/King Krule
Maino,76,341,81,"['rap', 'pop', 'soul']",
The Charlie Daniels Band,120,224,16,"['country', 'rock', 'pop']",
Cherish,2563,70,20,"['pop', 'foreignrap', 'dance']",http://en.wikipedia.org/wiki/Cherish (group)
Lil’ Flip,203,1297,159,"['rap', 'soul', 'rnb']",http://en.wikipedia.org/wiki/Lil' Flip
Carmen McRae,2167,1740,235,['vocaljazz'],http://en.wikipedia.org/wiki/Carmen McRae
Austra,1485,71,15,"['electronics', 'alternative', 'dance']",http://en.wikipedia.org/wiki/Austra (band)
The Divine Comedy,1171,93,8,"['pop', 'prog', 'rock']",http://en.wikipedia.org/wiki/The Divine Comedy (band)
Jimmy Buffett,96,484,50,"['pop', 'foreignbard', 'country']",http://en.wikipedia.org/wiki/Jimmy Buffett
The Beautiful Girls,22,22,2,"['folk', 'rock']",http://en.wikipedia.org/wiki/The Beautiful Girls
Jarabe de Palo,245,149,24,"['pop', 'rock', 'latinfolk']",http://en.wikipedia.org/wiki/Jarabe de Palo
Skalpel,617,72,10,['triphopgenre'],
Bedouin Soundclash,140,40,8,"['pop', 'indie']",http://en.wikipedia.org/wiki/Bedouin Soundclash
Roscoe Dash,162,151,15,"['rap', 'electronics']",http://en.wikipedia.org/wiki/Roscoe Dash
Flipsyde,6065,41,16,"['rap', 'alternative', 'rock']",http://en.wikipedia.org/wiki/Flipsyde
John Mayall & The Bluesbreakers,87,19,1,['blues'],http://en.wikipedia.org/wiki/John Mayall & the Bluesbreakers
Kellie Pickler,81,49,9,"['country', 'holiday', 'pop']",http://en.wikipedia.org/wiki/Kellie Pickler
EPMD,961,116,11,"['rap', 'foreignrap']",http://en.wikipedia.org/wiki/EPMD
Incognito,89010,62,12,['local-indie'],
EMF,568,56,8,"['rock', 'pop']",http://en.wikipedia.org/wiki/EMF (band)
Alela Diane,677,106,10,['foreignbard'],http://en.wikipedia.org/wiki/Alela Diane
Milburn,343,50,7,"['rock', 'alternative', 'pop']",http://en.wikipedia.org/wiki/Milburn (band)
Keaton Henson,2364,52,3,"['indie', 'modern', 'folk']",http://en.wikipedia.org/wiki/Keaton Henson
Steve Jablonsky,2548,333,21,"['films', 'soundtrack', 'videogame']",http://en.wikipedia.org/wiki/Steve Jablonsky
El Perro del Mar,107,92,20,['foreignbard'],http://en.wikipedia.org/wiki/El Perro del Mar
Skinny Puppy,5433,186,32,"['electronics', 'industrial', 'rock']",http://en.wikipedia.org/wiki/Skinny Puppy
Boz Scaggs,773,211,13,"['rock', 'pop', 'blues']",http://en.wikipedia.org/wiki/Boz Scaggs
Idlewild,165,126,20,"['rock', 'pop', 'alternative']",http://en.wikipedia.org/wiki/Idlewild (band)
Louis XIV,141,45,16,"['alternative', 'rap', 'african']",http://en.wikipedia.org/wiki/Louis XIV (band)
Alesha Dixon,218,65,17,"['pop', 'dance', 'soul']",http://en.wikipedia.org/wiki/Alesha Dixon
Cardi B,231176,109,37,"['rap', 'pop', 'dance']",http://en.wikipedia.org/wiki/Cardi B
Priscilla Ahn,469,86,11,"['pop', 'electronics', 'foreignbard']",http://en.wikipedia.org/wiki/Priscilla Ahn
Marissa Nadler,631,102,17,['indie'],http://en.wikipedia.org/wiki/Marissa Nadler
Sander van Doorn,36556,112,68,['trance'],http://en.wikipedia.org/wiki/Sander van Doorn
Sage Francis,261,173,14,"['rap', 'alternative']",http://en.wikipedia.org/wiki/Sage Francis
The 69 Eyes,24548,151,25,['gothicmetal'],http://en.wikipedia.org/wiki/The 69 Eyes
Vince Staples,9903,168,21,"['rap', 'dance', 'rnb']",http://en.wikipedia.org/wiki/Vince Staples
Wye Oak,1730,57,10,"['alternative', 'rock']",http://en.wikipedia.org/wiki/Wye Oak (band)
Linda Ronstadt,884,548,52,"['pop', 'rock', 'country']",http://en.wikipedia.org/wiki/Linda Ronstadt
David Archuleta,348,150,25,"['pop', 'holiday']",http://en.wikipedia.org/wiki/David Archuleta
Seinabo Sey,2009,73,18,['pop'],http://en.wikipedia.org/wiki/Seinabo Sey
Peter Bradley Adams,143,62,10,"['foreignbard', 'folk', 'folkrock']",http://en.wikipedia.org/wiki/Peter Bradley Adams
Blue Swede,1056,22,2,"['pop', 'rock']",http://en.wikipedia.org/wiki/Blue Swede
Yanni,19726,150,24,['newage'],http://en.wikipedia.org/wiki/Yanni
George Jones,244,1782,240,"['country', 'pop', 'jazz']",http://en.wikipedia.org/wiki/George Jones
Eric Hutchinson,72,106,18,"['foreignbard', 'pop']",http://en.wikipedia.org/wiki/Eric Hutchinson
Beth Gibbons,942,16,2,"['pop', 'classicalmasterpieces']",http://en.wikipedia.org/wiki/Beth Gibbons
Wang Chung,366,64,11,"['pop', 'rock', 'vocal']",http://en.wikipedia.org/wiki/Wang Chung (band)
Модест Петрович Мусоргский,58458,13467,750,[],
Mr. Bungle,2653,32,4,"['alternative', 'rock']",http://en.wikipedia.org/wiki/Mr. Bungle
Vanessa‐Mae,330269,118,13,"['classical', 'pop', 'folk']",http://en.wikipedia.org/wiki/Vanessa-Mae
Joan Jett,3084,114,2,"['hardrock', 'rock']",http://en.wikipedia.org/wiki/Joan Jett
Foxygen,618,59,7,['alternative'],http://en.wikipedia.org/wiki/Foxygen
Alan Menken,1039,652,15,"['soundtrack', 'children', 'films']",http://en.wikipedia.org/wiki/Alan Menken
TRUSTcompany,904,36,3,['rock'],http://en.wikipedia.org/wiki/Trust Company (band)
Anita O’Day,613,2204,260,['vocaljazz'],http://en.wikipedia.org/wiki/Anita O'Day
Hector Berlioz,11478,7613,670,"['classical', 'classicalmasterpieces', 'vocal']",
The Exies,2965,50,11,"['alternative', 'rock']",http://en.wikipedia.org/wiki/The Exies
Skindred,31000,91,12,['numetal'],http://en.wikipedia.org/wiki/Skindred
Rory Gallagher,3862,202,35,"['blues', 'rock', 'techno']",http://en.wikipedia.org/wiki/Rory Gallagher
Boy & Bear,193,56,9,['indie'],http://en.wikipedia.org/wiki/Boy & Bear
Jaga Jazzist,709,70,19,"['electronics', 'jazz']",http://en.wikipedia.org/wiki/Jaga Jazzist
Every Avenue,451,40,4,"['alternative', 'rock']",http://en.wikipedia.org/wiki/Every Avenue
Daniel Johnston,1100,425,30,"['rock', 'alternative', 'lounge']",http://en.wikipedia.org/wiki/Daniel Johnston
jj,1845,54,12,"['pop', 'dance', 'alternative']",
Stephen Marley,48464,128,13,"['reggae', 'pop', 'rap']",http://en.wikipedia.org/wiki/Stephen Marley (musician)
Rufus,2059,149,13,"['rnb', 'pop', 'funk']",http://en.wikipedia.org/wiki/Rufus (band)
McCoy Tyner,392,583,104,"['jazz', 'pop', 'bebopgenre']",http://en.wikipedia.org/wiki/McCoy Tyner
The Shapeshifters,701,114,29,"['dance', 'pop', 'rap']",http://en.wikipedia.org/wiki/The Shapeshifters
Gal Costa,205,366,35,"['folk', 'pop', 'latinfolk']",http://en.wikipedia.org/wiki/Gal Costa
People Under the Stairs,238,203,24,['rap'],http://en.wikipedia.org/wiki/People Under the Stairs
Ini Kamoze,969,185,16,"['reggae', 'electronics', 'pop']",http://en.wikipedia.org/wiki/Ini Kamoze
I Am Kloot,1120,78,10,"['rock', 'tvseries', 'indie']",http://en.wikipedia.org/wiki/I Am Kloot
Zombie Nation,222,116,32,"['house', 'electronics', 'techno']",http://en.wikipedia.org/wiki/Zombie Nation (musician)
Baauer,1549,34,10,['edmgenre'],http://en.wikipedia.org/wiki/Baauer
Gary Clark Jr.,14516,93,21,['blues'],http://en.wikipedia.org/wiki/Gary Clark Jr.
4 Strings,636104,115,36,"['dance', 'trance', 'electronics']",http://en.wikipedia.org/wiki/4 Strings
At the Gates,3630,84,7,['deathmetal'],http://en.wikipedia.org/wiki/At the Gates
MC5,889,99,16,"['rock', 'hardrock', 'alternative']",http://en.wikipedia.org/wiki/MC5
Pillar,4926,63,6,"['alternative', 'rap', 'rock']",http://en.wikipedia.org/wiki/Pillar (band)
C+C Music Factory,848,61,7,"['pop', 'electronics', 'rap']",http://en.wikipedia.org/wiki/C+C Music Factory
The Cinematics,851,30,4,"['rock', 'alternative']",http://en.wikipedia.org/wiki/The Cinematics
The Whip,156,39,13,"['electronics', 'dance', 'pop']",http://en.wikipedia.org/wiki/The Whip (band)
mewithoutYou,2143,92,14,['posthardcore'],http://en.wikipedia.org/wiki/MewithoutYou
Gamma Ray,9998,144,24,['epicmetal'],http://en.wikipedia.org/wiki/Gamma Ray (band)
Geto Boys,1788,73,6,['rap'],http://en.wikipedia.org/wiki/Geto Boys
Kina Grannis,702,103,24,"['pop', 'foreignbard', 'folk']",http://en.wikipedia.org/wiki/Kina Grannis
Nipsey Hussle,1035,481,88,"['rap', 'foreignrap', 'dance']",http://en.wikipedia.org/wiki/Nipsey Hussle
Ritchie Valens,16747,233,80,"['rock', 'rnr', 'pop']",http://en.wikipedia.org/wiki/Ritchie Valens
Cesária Évora,35966,230,12,"['folk', 'pop', 'latinfolk']",http://en.wikipedia.org/wiki/Cesária Évora
A Static Lullaby,1128,28,4,['posthardcore'],http://en.wikipedia.org/wiki/A Static Lullaby
The The,0,78,31,"['rap', 'alternative', 'electronics']",
Michelle Williams,6525,99,20,"['pop', 'dance', 'soul']",http://en.wikipedia.org/wiki/Michelle Williams (singer)
Black Stone Cherry,6345,124,18,"['rock', 'alternative']",http://en.wikipedia.org/wiki/Black Stone Cherry
Poliça,620,79,14,"['alternative', 'electronics', 'dance']",http://en.wikipedia.org/wiki/Poliça
Clueso,791,185,7,"['pop', 'alternative', 'rap']",http://en.wikipedia.org/wiki/Clueso
Becky G,20949,114,15,"['pop', 'latinfolk', 'rap']",http://en.wikipedia.org/wiki/Becky G
Billy Squier,1091,114,16,"['rock', 'hardrock', 'pop']",http://en.wikipedia.org/wiki/Billy Squier
Clark,2153,76,5,['idmgenre'],http://en.wikipedia.org/wiki/Clark (musician)
The Flashbulb,1859,81,7,"['electronics', 'jazz']",http://en.wikipedia.org/wiki/Benn Jordan
Totally Enormous Extinct Dinosaurs,790,80,14,"['electronics', 'dance', 'alternative']",http://en.wikipedia.org/wiki/Totally Enormous Extinct Dinosaurs
Justin Moore,212,94,10,"['country', 'foreignrap']",http://en.wikipedia.org/wiki/Justin Moore
Gorgon City,124233,162,47,"['dance', 'electronics', 'house']",http://en.wikipedia.org/wiki/Gorgon City
Theatre of Tragedy,12866,97,14,['gothicmetal'],http://en.wikipedia.org/wiki/Theatre of Tragedy
A$AP Ferg,101613,206,17,['rap'],http://en.wikipedia.org/wiki/ASAP Ferg
Supreme Beings of Leisure,215,23,3,['electronics'],http://en.wikipedia.org/wiki/Supreme Beings of Leisure
Wisin & Yandel,11212,284,25,"['pop', 'latinfolk', 'reggaeton']",http://en.wikipedia.org/wiki/Wisin & Yandel
C2C,2006,21,2,"['electronics', 'reggaeton']",http://en.wikipedia.org/wiki/C2C (group)
Shivaree,2660,50,7,"['pop', 'allrock', 'rock']",http://en.wikipedia.org/wiki/Shivaree (band)
John Powell,1921,855,42,"['soundtrack', 'films', 'animated']",http://en.wikipedia.org/wiki/John Powell (film composer)
Dash Berlin,95281,120,36,['trance'],
TOKiMONSTA,2568,137,23,['bassgenre'],http://en.wikipedia.org/wiki/Tokimonsta
Leaves’ Eyes,14466,130,24,['epicmetal'],http://en.wikipedia.org/wiki/Leaves' Eyes
Active Child,1712,47,4,"['alternative', 'pop', 'modern']",http://en.wikipedia.org/wiki/Active Child
Murs,251,423,41,"['rap', 'punk', 'electronics']",http://en.wikipedia.org/wiki/Murs (rapper)
Cœur de pirate,2007,134,20,['indie'],http://en.wikipedia.org/wiki/Cœur de pirate
Lisa Hannigan,758,41,4,"['folk', 'alternative', 'rap']",http://en.wikipedia.org/wiki/Lisa Hannigan
Fujiya & Miyagi,2752,87,14,"['electronics', 'rock', 'newwave']",http://en.wikipedia.org/wiki/Fujiya & Miyagi
Saint Motel,18890,65,11,['indie'],http://en.wikipedia.org/wiki/Saint Motel
Kris Kristofferson,825,438,23,"['country', 'rock', 'pop']",http://en.wikipedia.org/wiki/Kris Kristofferson
Dion,70722,379,3,"['pop', 'soundtrack', 'classical']",http://en.wikipedia.org/wiki/Celine Dion
Klangkarussell,26377,56,23,"['dance', 'electronics', 'pop']",http://en.wikipedia.org/wiki/Klangkarussell
The Brand New Heavies,1179,175,23,"['funk', 'rnb', 'soul']",http://en.wikipedia.org/wiki/The Brand New Heavies
White Town,1172,72,11,"['electronics', 'pop', 'folk']",http://en.wikipedia.org/wiki/White Town
Sylvan Esso,1213,52,18,['indie'],
The Big Pink,701,61,12,['indie'],http://en.wikipedia.org/wiki/The Big Pink
Scatman John,6359,44,11,"['pop', 'electronics', 'dance']",http://en.wikipedia.org/wiki/Scatman John
J. Tillman,49,85,9,"['alternative', 'folk']",http://en.wikipedia.org/wiki/Father John Misty
Sebadoh,398,202,10,['indie'],http://en.wikipedia.org/wiki/Sebadoh
Heaven 17,212,128,25,"['pop', 'electronics', 'dance']",http://en.wikipedia.org/wiki/Heaven 17
Space Cowboy,121,56,10,"['dance', 'pop', 'electronics']",http://en.wikipedia.org/wiki/Space Cowboy (musician)
Orishas,1924,111,16,"['rap', 'latinfolk', 'foreignrap']",http://en.wikipedia.org/wiki/Orishas (band)
Lee “Scratch” Perry,17595,1314,137,"['reggae', 'electronics', 'folk']","http://en.wikipedia.org/wiki/Lee ""Scratch"" Perry"
Set Your Goals,2650,46,5,"['hardcore', 'alternative', 'rock']",http://en.wikipedia.org/wiki/Set Your Goals (band)
VNV Nation,12849,171,23,"['electronics', 'alternative', 'rock']",http://en.wikipedia.org/wiki/VNV Nation
Between the Buried and Me,2654,84,14,['progmetal'],http://en.wikipedia.org/wiki/Between the Buried and Me
Keith Sweat,575,189,19,"['rnb', 'soul', 'pop']",http://en.wikipedia.org/wiki/Keith Sweat
Cowboy Junkies,565,143,13,"['pop', 'alternative', 'rock']",http://en.wikipedia.org/wiki/Cowboy Junkies
The Blow,84310,44,5,"['pop', 'techno', 'electronics']",
Bleachers,3783,41,0,['indie'],http://en.wikipedia.org/wiki/Bleachers (band)
Ester Dean,1296,38,8,"['soul', 'dance', 'rap']",http://en.wikipedia.org/wiki/Ester Dean
Smog,78,169,17,"['foreignbard', 'rock', 'alternative']",
Minutemen,598,166,13,"['punk', 'pop', 'rock']",http://www.wikidata.org/wiki/q100285587
Katharine McPhee,155,73,8,"['jazz', 'pop', 'rock']",http://en.wikipedia.org/wiki/Katharine McPhee
Paul Wall,378,965,87,"['rap', 'foreignrap', 'soul']",http://en.wikipedia.org/wiki/Paul Wall
Lambchop,158,220,26,"['alternative', 'pop', 'rap']",http://en.wikipedia.org/wiki/Lambchop (band)
Red Snapper,3255,44,14,"['dance', 'electronics', 'jazz']",http://en.wikipedia.org/wiki/Red Snapper (band)
Transplants,2865,44,4,['punk'],http://en.wikipedia.org/wiki/Transplants (band)
Lee Morgan,969,854,137,['bebopgenre'],http://en.wikipedia.org/wiki/Lee Morgan
