,Количество лайков,Количество треков,Количество альбомов,Жанры,Страница Википедии
Florence + the Machine,150243,99,26,['indie'],http://en.wikipedia.org/wiki/Florence and the Machine
Modest Mouse,8311,183,10,['indie'],http://en.wikipedia.org/wiki/Modest Mouse
Elvis Presley,1756253,3565,894,['rnr'],http://en.wikipedia.org/wiki/Elvis Presley
Disturbed,754201,129,20,['alternativemetal'],http://en.wikipedia.org/wiki/Disturbed (band)
Simon & Garfunkel,123949,180,18,['folkrock'],http://en.wikipedia.org/wiki/Simon & Garfunkel
Evanescence,1371677,75,5,"['alternative', 'rock']",http://en.wikipedia.org/wiki/Evanescence
My Chemical Romance,217129,87,28,['alternative'],http://en.wikipedia.org/wiki/My Chemical Romance
Creedence Clearwater Revival,167117,132,21,"['rock', 'rnr', 'folk']",http://en.wikipedia.org/wiki/Creedence Clearwater Revival
Thirty Seconds to Mars,604258,80,19,"['alternative', 'dance', 'pop']",http://en.wikipedia.org/wiki/Thirty Seconds to Mars
Frank Sinatra,1855853,11197,1495,['vocaljazz'],http://en.wikipedia.org/wiki/Frank Sinatra
Bon Jovi,1514549,345,44,"['rock', 'hardrock', 'pop']",http://en.wikipedia.org/wiki/Bon Jovi
Slipknot,1759467,101,21,['numetal'],http://en.wikipedia.org/wiki/Slipknot (band)
Shakira,884641,168,5,"['pop', 'latinfolk', 'dance']",http://en.wikipedia.org/wiki/Shakira
The Shins,3370,86,12,['indie'],http://en.wikipedia.org/wiki/The Shins
The Clash,40387,170,2,"['punk', 'rock']",http://en.wikipedia.org/wiki/The Clash
Dr. Dre,338287,183,16,"['rap', 'rnb', 'foreignrap']",http://en.wikipedia.org/wiki/Dr. Dre
Alicia Keys,150625,221,7,"['rnb', 'pop', 'foreignrap']",http://en.wikipedia.org/wiki/Alicia Keys
Pixies,47102,161,50,"['alternative', 'rock', 'indie']",http://en.wikipedia.org/wiki/Pixies (band)
Limp Bizkit,1602980,121,14,['numetal'],http://en.wikipedia.org/wiki/Limp Bizkit
The Smiths,42566,94,15,"['rock', 'alternative']",http://en.wikipedia.org/wiki/The Smiths
OneRepublic,1004157,127,35,"['pop', 'dance', 'rock']",http://en.wikipedia.org/wiki/OneRepublic
The Cranberries,708628,147,23,['rock'],http://en.wikipedia.org/wiki/The Cranberries
The Police,357034,83,11,['rock'],http://en.wikipedia.org/wiki/The Police
Kaiser Chiefs,20081,104,17,['indie'],http://en.wikipedia.org/wiki/Kaiser Chiefs
Jason Mraz,13078,180,39,"['pop', 'folk', 'foreignbard']",http://en.wikipedia.org/wiki/Jason Mraz
Interpol,26129,108,28,['indie'],http://en.wikipedia.org/wiki/Interpol (band)
Beastie Boys,51776,268,33,['rap'],http://en.wikipedia.org/wiki/Beastie Boys
Nelly Furtado,114063,175,33,"['pop', 'dance', 'rock']",http://en.wikipedia.org/wiki/Nelly Furtado
Three Days Grace,1304075,80,0,"['rock', 'alternative']",http://en.wikipedia.org/wiki/Three Days Grace
The Chemical Brothers,115838,251,51,['breakbeatgenre'],http://en.wikipedia.org/wiki/The Chemical Brothers
Sum 41,681734,103,13,"['alternative', 'rock', 'punk']",http://en.wikipedia.org/wiki/Sum 41
Marilyn Manson,955925,208,27,['industrial'],http://en.wikipedia.org/wiki/Marilyn Manson
The Prodigy,1816216,148,36,['breakbeatgenre'],http://en.wikipedia.org/wiki/The Prodigy
The Fray,10041,70,0,"['rock', 'pop', 'foreignrap']",http://en.wikipedia.org/wiki/The Fray
Audioslave,17295,45,3,"['alternative', 'rock', 'hardrock']",http://en.wikipedia.org/wiki/Audioslave
Taylor Swift,325202,237,51,"['pop', 'country', 'alternative']",http://en.wikipedia.org/wiki/Taylor Swift
Panic! at the Disco,669703,85,20,['rock'],http://en.wikipedia.org/wiki/Panic! at the Disco
Calvin Harris,1116776,140,10,['edmgenre'],http://en.wikipedia.org/wiki/Calvin Harris
Wiz Khalifa,302351,901,121,"['rap', 'pop', 'foreignrap']",http://en.wikipedia.org/wiki/Wiz Khalifa
Björk,33570,263,67,['indie'],http://en.wikipedia.org/wiki/Björk
2Pac,414128,397,19,['foreignrap'],http://en.wikipedia.org/wiki/Tupac Shakur
Vampire Weekend,7380,63,12,['indie'],http://en.wikipedia.org/wiki/Vampire Weekend
Nine Inch Nails,165270,250,30,['industrial'],http://en.wikipedia.org/wiki/Nine Inch Nails
John Lennon,70132,353,30,['rock'],http://en.wikipedia.org/wiki/John Lennon
Lily Allen,8990,104,20,"['pop', 'dance', 'rap']",http://en.wikipedia.org/wiki/Lily Allen
Bruce Springsteen,14229,627,22,"['rock', 'audiobooks', 'pop']",http://en.wikipedia.org/wiki/Bruce Springsteen
The Black Keys,48892,118,14,"['rock', 'alternative', 'blues']",http://en.wikipedia.org/wiki/The Black Keys
Gwen Stefani,35345,96,23,"['pop', 'holiday', 'country']",http://en.wikipedia.org/wiki/Gwen Stefani
Flo Rida,650926,339,75,"['rap', 'dance', 'pop']",http://en.wikipedia.org/wiki/Flo Rida
Iron Maiden,212940,199,35,['classicmetal'],http://en.wikipedia.org/wiki/Iron Maiden
Portishead,37965,53,7,['triphopgenre'],http://en.wikipedia.org/wiki/Portishead (band)
Jimmy Eat World,25448,136,18,['alternative'],http://en.wikipedia.org/wiki/Jimmy Eat World
Goo Goo Dolls,6099,186,30,['rock'],http://en.wikipedia.org/wiki/Goo Goo Dolls
Iron & Wine,10238,203,26,['indie'],http://en.wikipedia.org/wiki/Iron & Wine
Eagles,156169,205,25,"['rock', 'pop', 'folkrock']",http://en.wikipedia.org/wiki/Eagles (band)
Norah Jones,201911,287,43,['vocaljazz'],http://en.wikipedia.org/wiki/Norah Jones
The Verve,19344,93,16,"['rock', 'pop', 'alternative']",http://en.wikipedia.org/wiki/The Verve
Nicki Minaj,292397,381,79,"['rap', 'pop', 'rnb']",http://en.wikipedia.org/wiki/Nicki Minaj
Sigur Rós,234192,572,37,['postrock'],http://en.wikipedia.org/wiki/Sigur Rós
The Pussycat Dolls,82471,48,14,"['pop', 'rnb']",http://en.wikipedia.org/wiki/The Pussycat Dolls
James Blunt,54365,123,21,"['pop', 'dance']",http://en.wikipedia.org/wiki/James Blunt
Rise Against,363474,137,19,"['rock', 'punk', 'hardcore']",http://en.wikipedia.org/wiki/Rise Against
Miley Cyrus,176820,158,12,"['pop', 'foreignrap', 'rap']",http://en.wikipedia.org/wiki/Miley Cyrus
The Game,43013,1169,183,"['rap', 'foreignrap', 'pop']",http://en.wikipedia.org/wiki/The Game (rapper)
Lupe Fiasco,8525,170,24,"['rap', 'rnb', 'pop']",http://en.wikipedia.org/wiki/Lupe Fiasco
No Doubt,134788,104,13,"['pop', 'ska', 'rock']",http://en.wikipedia.org/wiki/No Doubt
Bob Marley,1492274,492,90,"['reggae', 'dance', 'ska']",http://en.wikipedia.org/wiki/Bob Marley
Akon,726944,475,87,['rap'],http://en.wikipedia.org/wiki/Akon
Röyksopp,146532,149,49,"['electronics', 'dance', 'house']",http://en.wikipedia.org/wiki/Röyksopp
