,Количество лайков,Количество треков,Количество альбомов,Жанры,Страница Википедии
Yeah Yeah Yeahs,23719,58,8,"['alternative', 'rock', 'electronics']",http://en.wikipedia.org/wiki/Yeah Yeah Yeahs
P!nk,333087,170,1,"['pop', 'films']",http://en.wikipedia.org/wiki/Pink (singer)
Snoop Dogg,793547,1639,243,['rap'],http://en.wikipedia.org/wiki/Snoop Dogg
Kid Cudi,68981,197,20,"['rap', 'alternative', 'dance']",http://en.wikipedia.org/wiki/Kid Cudi
Kesha,42047,132,9,['pop'],http://en.wikipedia.org/wiki/Kesha
Paramore,135957,85,18,"['alternative', 'rock', 'dance']",http://en.wikipedia.org/wiki/paramore
Queens of the Stone Age,28528,102,15,"['stonerrock', 'rock', 'alternative']",http://en.wikipedia.org/wiki/Queens of the Stone Age
Papa Roach,925336,177,34,['numetal'],http://en.wikipedia.org/wiki/Papa Roach
Mariah Carey,108689,365,41,"['pop', 'holiday', 'rnb']",http://en.wikipedia.org/wiki/Mariah Carey
John Mayer,7882,130,3,['rock'],http://en.wikipedia.org/wiki/John Mayer
Black Sabbath,203318,160,24,['classicmetal'],http://en.wikipedia.org/wiki/Black Sabbath
Kasabian,106381,87,1,['rock'],http://en.wikipedia.org/wiki/Kasabian
The Beach Boys,45072,907,123,"['rock', 'pop', 'rnr']",http://en.wikipedia.org/wiki/The Beach Boys
Kelly Clarkson,25671,205,26,"['pop', 'dance', 'holiday']",http://en.wikipedia.org/wiki/Kelly Clarkson
T.I.,52735,849,67,"['rap', 'rnb', 'pop']",http://en.wikipedia.org/wiki/T.I.
Keane,43980,130,32,['rock'],http://en.wikipedia.org/wiki/Keane (band)
Eric Clapton,1008533,622,47,[],http://en.wikipedia.org/wiki/Eric Clapton
Florence + the Machine,149106,99,26,['indie'],http://en.wikipedia.org/wiki/Florence and the Machine
Modest Mouse,8271,183,10,['indie'],http://en.wikipedia.org/wiki/Modest Mouse
Elvis Presley,1730911,3563,893,['rnr'],http://en.wikipedia.org/wiki/Elvis Presley
Disturbed,744894,129,20,['alternativemetal'],http://en.wikipedia.org/wiki/Disturbed (band)
Simon & Garfunkel,123518,180,18,['folkrock'],http://en.wikipedia.org/wiki/Simon & Garfunkel
Evanescence,1345615,75,5,"['alternative', 'rock']",http://en.wikipedia.org/wiki/Evanescence
My Chemical Romance,215126,87,28,['alternative'],http://en.wikipedia.org/wiki/My Chemical Romance
Creedence Clearwater Revival,164424,132,20,"['rock', 'rnr', 'folk']",http://en.wikipedia.org/wiki/Creedence Clearwater Revival
Thirty Seconds to Mars,600241,80,19,"['alternative', 'dance', 'pop']",http://en.wikipedia.org/wiki/Thirty Seconds to Mars
Frank Sinatra,1825790,11187,1490,['vocaljazz'],http://en.wikipedia.org/wiki/Frank Sinatra
Bon Jovi,1476354,345,44,"['rock', 'hardrock', 'pop']",http://en.wikipedia.org/wiki/Bon Jovi
Slipknot,1725327,101,21,['numetal'],http://en.wikipedia.org/wiki/Slipknot (band)
Shakira,883597,168,5,"['pop', 'latinfolk', 'dance']",http://en.wikipedia.org/wiki/Shakira
The Shins,3352,86,12,['indie'],http://en.wikipedia.org/wiki/The Shins
The Clash,40214,170,2,"['punk', 'rock']",http://en.wikipedia.org/wiki/The Clash
Dr. Dre,336709,184,16,"['rap', 'rnb', 'foreignrap']",http://en.wikipedia.org/wiki/Dr. Dre
Alicia Keys,150530,221,7,"['rnb', 'pop', 'foreignrap']",http://en.wikipedia.org/wiki/Alicia Keys
Pixies,46096,161,50,"['alternative', 'rock', 'indie']",http://en.wikipedia.org/wiki/Pixies (band)
Limp Bizkit,1572554,121,14,['numetal'],http://en.wikipedia.org/wiki/Limp Bizkit
The Smiths,41564,94,15,"['rock', 'alternative']",http://en.wikipedia.org/wiki/The Smiths
OneRepublic,992017,127,35,"['pop', 'dance', 'rock']",http://en.wikipedia.org/wiki/OneRepublic
The Cranberries,698192,147,23,['rock'],http://en.wikipedia.org/wiki/The Cranberries
The Police,343097,83,11,['rock'],http://en.wikipedia.org/wiki/The Police
Kaiser Chiefs,20020,104,17,['indie'],http://en.wikipedia.org/wiki/Kaiser Chiefs
Jason Mraz,13028,180,39,"['pop', 'folk', 'foreignbard']",http://en.wikipedia.org/wiki/Jason Mraz
Interpol,26033,93,26,['indie'],http://en.wikipedia.org/wiki/Interpol (band)
Beastie Boys,51384,268,33,['rap'],http://en.wikipedia.org/wiki/Beastie Boys
Nelly Furtado,112765,175,33,"['pop', 'dance', 'rock']",http://en.wikipedia.org/wiki/Nelly Furtado
Three Days Grace,1302723,80,0,"['rock', 'alternative']",http://en.wikipedia.org/wiki/Three Days Grace
The Chemical Brothers,115111,251,51,['breakbeatgenre'],http://en.wikipedia.org/wiki/The Chemical Brothers
Sum 41,672428,103,13,"['alternative', 'rock', 'punk']",http://en.wikipedia.org/wiki/Sum 41
Marilyn Manson,932658,208,27,['industrial'],http://en.wikipedia.org/wiki/Marilyn Manson
The Prodigy,1784024,148,36,['breakbeatgenre'],http://en.wikipedia.org/wiki/The Prodigy
The Fray,10004,70,0,"['rock', 'pop', 'foreignrap']",http://en.wikipedia.org/wiki/The Fray
Audioslave,17071,45,3,"['alternative', 'rock', 'hardrock']",http://en.wikipedia.org/wiki/Audioslave
Taylor Swift,322614,237,51,"['pop', 'country', 'alternative']",http://en.wikipedia.org/wiki/Taylor Swift
Panic! at the Disco,656538,85,20,['rock'],http://en.wikipedia.org/wiki/Panic! at the Disco
Calvin Harris,1116402,140,10,['edmgenre'],http://en.wikipedia.org/wiki/Calvin Harris
Wiz Khalifa,300435,900,120,"['rap', 'pop', 'foreignrap']",http://en.wikipedia.org/wiki/Wiz Khalifa
Björk,33321,263,67,['indie'],http://en.wikipedia.org/wiki/Björk
2Pac,391477,398,19,['foreignrap'],http://en.wikipedia.org/wiki/Tupac Shakur
Vampire Weekend,7360,63,12,['indie'],http://en.wikipedia.org/wiki/Vampire Weekend
Nine Inch Nails,163796,250,30,['industrial'],http://en.wikipedia.org/wiki/Nine Inch Nails
John Lennon,69682,353,30,['rock'],http://en.wikipedia.org/wiki/John Lennon
Lily Allen,8959,104,20,"['pop', 'dance', 'rap']",http://en.wikipedia.org/wiki/Lily Allen
Bruce Springsteen,14139,627,22,"['rock', 'audiobooks', 'pop']",http://en.wikipedia.org/wiki/Bruce Springsteen
The Black Keys,48540,118,14,"['rock', 'alternative', 'blues']",http://en.wikipedia.org/wiki/The Black Keys
Gwen Stefani,35122,96,23,"['pop', 'holiday', 'country']",http://en.wikipedia.org/wiki/Gwen Stefani
Air,11383,148,22,['lounge'],http://en.wikipedia.org/wiki/Air (French band)
Fleetwood Mac,46418,545,66,"['rock', 'pop', 'blues']",http://en.wikipedia.org/wiki/Fleetwood Mac
Stevie Wonder,47853,651,111,['pop'],http://en.wikipedia.org/wiki/Stevie Wonder
Dire Straits,165153,82,18,['rock'],http://en.wikipedia.org/wiki/Dire Straits
Flo Rida,643523,340,76,"['rap', 'dance', 'pop']",http://en.wikipedia.org/wiki/Flo Rida
Sia,2624605,309,49,['pop'],http://en.wikipedia.org/wiki/Sia
Deep Purple,983546,410,75,['hardrock'],http://en.wikipedia.org/wiki/Deep Purple
Iron Maiden,211422,199,35,['classicmetal'],http://en.wikipedia.org/wiki/Iron Maiden
The Kinks,12182,450,48,"['rock', 'rnr', 'pop']",http://en.wikipedia.org/wiki/The Kinks
Jennifer Lopez,215927,234,19,"['pop', 'latinfolk', 'dance']",http://en.wikipedia.org/wiki/Jennifer Lopez
Portishead,37657,53,7,['triphopgenre'],http://en.wikipedia.org/wiki/Portishead (band)
Jimmy Eat World,25389,135,17,['alternative'],http://en.wikipedia.org/wiki/Jimmy Eat World
Goo Goo Dolls,6020,186,30,['rock'],http://en.wikipedia.org/wiki/Goo Goo Dolls
Iron & Wine,10202,203,26,['indie'],http://en.wikipedia.org/wiki/Iron & Wine
Eagles,154242,204,25,"['rock', 'pop', 'folkrock']",http://en.wikipedia.org/wiki/Eagles (band)
The Notorious B.I.G.,44669,256,32,"['rap', 'rnb', 'folk']",http://en.wikipedia.org/wiki/The Notorious B.I.G.
Norah Jones,201613,287,43,['vocaljazz'],http://en.wikipedia.org/wiki/Norah Jones
The Verve,19184,93,16,"['rock', 'pop', 'alternative']",http://en.wikipedia.org/wiki/The Verve
Nicki Minaj,291677,379,79,"['rap', 'pop', 'rnb']",http://en.wikipedia.org/wiki/Nicki Minaj
Sigur Rós,233329,572,37,['postrock'],http://en.wikipedia.org/wiki/Sigur Rós
The Pussycat Dolls,81975,47,14,"['pop', 'rnb']",http://en.wikipedia.org/wiki/The Pussycat Dolls
