,Количество лайков,Количество треков,Количество альбомов,Жанры,Страница Википедии
UNKLE,18066,268,40,['triphopgenre'],http://en.wikipedia.org/wiki/Unkle
Alien Ant Farm,7681,62,9,"['rock', 'alternative', 'pop']",http://en.wikipedia.org/wiki/Alien Ant Farm
Santigold,2342,74,8,['electronics'],http://en.wikipedia.org/wiki/Santigold
Mudvayne,29704,67,0,['numetal'],http://en.wikipedia.org/wiki/Mudvayne
Ariana Grande,798435,177,31,['pop'],http://en.wikipedia.org/wiki/Ariana Grande
Diana Krall,50242,222,20,['vocaljazz'],http://en.wikipedia.org/wiki/Diana Krall
Yo La Tengo,0,1,0,[],
Tricky,205571,219,34,['triphopgenre'],http://en.wikipedia.org/wiki/Tricky (musician)
alt-J,169721,63,9,['indie'],http://en.wikipedia.org/wiki/Alt-J
Etta James,58327,931,181,['vocaljazz'],http://en.wikipedia.org/wiki/Etta James
Dusty Springfield,3582,473,65,"['pop', 'jazz', 'estrada']",http://en.wikipedia.org/wiki/Dusty Springfield
Aaliyah,4191,100,10,"['rnb', 'soul', 'pop']",http://en.wikipedia.org/wiki/Aaliyah
Chevelle,12403,115,2,['alternativemetal'],http://en.wikipedia.org/wiki/Chevelle (band)
Mike Posner,7985,143,14,['pop'],http://en.wikipedia.org/wiki/Mike Posner
Soulja Boy Tell ’Em,7036,621,142,"['rap', 'foreignrap', 'alternative']",http://en.wikipedia.org/wiki/Soulja Boy
Seal,17098,248,44,"['pop', 'dance', 'rnb']",http://en.wikipedia.org/wiki/Seal (musician)
Lamb,4506,52,5,['triphopgenre'],
New Found Glory,8842,163,18,['punk'],http://en.wikipedia.org/wiki/New Found Glory
The Allman Brothers Band,5334,288,52,"['rock', 'pop', 'blues']",http://en.wikipedia.org/wiki/The Allman Brothers Band
Bring Me the Horizon,521801,114,8,['alternativemetal'],http://en.wikipedia.org/wiki/Bring Me the Horizon
Rufus Wainwright,1618,229,32,"['pop', 'foreignbard', 'rock']",http://en.wikipedia.org/wiki/Rufus Wainwright
NOFX,32354,298,32,"['punk', 'rock', 'ska']",http://en.wikipedia.org/wiki/NOFX
Tom Petty,3099,397,17,"['rock', 'folk', 'pop']",http://en.wikipedia.org/wiki/Tom Petty
Carly Rae Jepsen,19580,123,23,"['pop', 'dance', 'electronics']",http://en.wikipedia.org/wiki/Carly Rae Jepsen
Birdman,3695,289,38,"['rap', 'pop', 'soul']",http://en.wikipedia.org/wiki/Birdman (rapper)
Manic Street Preachers,5049,329,2,"['rock', 'indie', 'alternative']",http://en.wikipedia.org/wiki/Manic Street Preachers
Mos Def,6882,150,7,['rap'],http://en.wikipedia.org/wiki/Mos Def
Cascada,13519,236,45,"['dance', 'pop', 'house']",http://en.wikipedia.org/wiki/Cascada
Supergrass,1764,132,32,"['pop', 'rock']",http://en.wikipedia.org/wiki/Supergrass
Europe,161346,156,16,"['rock', 'hardrock', 'classicmetal']",http://en.wikipedia.org/wiki/Europe (band)
Jethro Tull,21508,543,46,"['rock', 'prog', 'folkrock']",http://en.wikipedia.org/wiki/Jethro Tull (band)
Survivor,185792,73,2,"['rock', 'hardrock']",http://en.wikipedia.org/wiki/Survivor (band)
Bastille,64215,176,37,['indie'],http://en.wikipedia.org/wiki/Bastille (band)
Doves,3910,94,21,"['pop', 'rock', 'alternative']",http://en.wikipedia.org/wiki/Doves (band)
Angus & Julia Stone,8600,28,3,['indie'],http://en.wikipedia.org/wiki/Angus & Julia Stone
Maxïmo Park,635,8,2,['indie'],http://en.wikipedia.org/wiki/Maxïmo Park
One Direction,88933,93,2,['pop'],http://en.wikipedia.org/wiki/One Direction
Kool & The Gang,30146,366,60,"['rnb', 'pop', 'soul']",http://en.wikipedia.org/wiki/Kool & the Gang
The Mars Volta,21615,80,12,"['rock', 'alternative', 'prog']",http://en.wikipedia.org/wiki/The Mars Volta
Roy Orbison,48348,855,183,"['rock', 'pop', 'jazz']",http://en.wikipedia.org/wiki/Roy Orbison
Erykah Badu,16089,138,21,"['rnb', 'pop', 'rap']",http://en.wikipedia.org/wiki/Erykah Badu
Mötley Crüe,70066,146,34,['classicmetal'],http://en.wikipedia.org/wiki/Mötley Crüe
Jamie Cullum,5350,198,24,"['jazz', 'pop', 'conjazz']",http://en.wikipedia.org/wiki/Jamie Cullum
HIM,93767,105,9,['gothicmetal'],http://en.wikipedia.org/wiki/HIM (Finnish band)
Within Temptation,294226,129,32,['epicmetal'],http://en.wikipedia.org/wiki/Within Temptation
Laura Marling,2487,99,20,['foreignbard'],http://en.wikipedia.org/wiki/Laura Marling
Moloko,6139,128,20,"['pop', 'electronics', 'dance']",http://en.wikipedia.org/wiki/Moloko
T. Rex,12812,715,77,"['rock', 'pop', 'alternative']",http://en.wikipedia.org/wiki/T. Rex (band)
Joss Stone,7194,203,38,"['rnb', 'pop', 'soul']",http://en.wikipedia.org/wiki/Joss Stone
N.W.A,30486,58,8,['rap'],http://en.wikipedia.org/wiki/N.W.A
John Coltrane,34219,3250,568,['bebopgenre'],http://en.wikipedia.org/wiki/John Coltrane
Mario,653,114,20,"['rnb', 'soul', 'soundtrack']",http://en.wikipedia.org/wiki/Mario (singer)
Heart,2855,263,31,"['rock', 'pop', 'hardrock']",http://en.wikipedia.org/wiki/Heart (band)
Mac Miller,53124,250,30,"['rap', 'pop', 'soul']",http://en.wikipedia.org/wiki/Mac Miller
Ingrid Michaelson,7134,146,30,['foreignbard'],http://en.wikipedia.org/wiki/Ingrid Michaelson
Devendra Banhart,4219,216,26,['foreignbard'],http://en.wikipedia.org/wiki/Devendra Banhart
Pavement,1181,208,14,"['alternative', 'rock', 'house']",
Dropkick Murphys,30462,145,10,['punk'],http://en.wikipedia.org/wiki/Dropkick Murphys
Glee Cast,5725,678,14,"['pop', 'holiday', 'rock']",
Atreyu,4679,92,17,['metalcoregenre'],http://en.wikipedia.org/wiki/Atreyu
Steve Miller Band,1756,247,31,"['rock', 'pop', 'blues']",http://en.wikipedia.org/wiki/Steve Miller Band
Bing Crosby,40300,9391,722,['vocaljazz'],http://en.wikipedia.org/wiki/Bing Crosby
LĪVE,1,1,1,['rap'],
Elbow,11523,158,26,['indie'],http://en.wikipedia.org/wiki/Elbow (band)
Carrie Underwood,2426,146,7,"['country', 'holiday', 'rock']",http://en.wikipedia.org/wiki/Carrie Underwood
311,1018,216,9,"['rock', 'alternative', 'rap']",http://en.wikipedia.org/wiki/311 (band)
Digitalism,2981,81,20,['electronics'],http://en.wikipedia.org/wiki/Digitalism (band)
Noah and the Whale,1262,42,4,['indie'],
The Yardbirds,6912,375,48,"['rock', 'blues', 'rnr']",http://en.wikipedia.org/wiki/The Yardbirds
Dream Theater,471497,284,26,['progmetal'],http://en.wikipedia.org/wiki/Dream Theater
Lionel Richie,40745,190,27,"['pop', 'rnb', 'rock']",http://en.wikipedia.org/wiki/Lionel Richie
Joni Mitchell,2800,478,60,"['pop', 'rock', 'folk']",http://en.wikipedia.org/wiki/Joni Mitchell
Thom Yorke,14397,99,18,"['electronics', 'alternative', 'indie']",http://en.wikipedia.org/wiki/Thom Yorke
RJD2,5584,283,28,"['rap', 'electronics', 'lounge']",http://en.wikipedia.org/wiki/RJD2
Boys Like Girls,1194,27,0,"['pop', 'alternative']",http://en.wikipedia.org/wiki/Boys Like Girls
Barenaked Ladies,1156,294,39,['indie'],http://en.wikipedia.org/wiki/Barenaked Ladies
Enigma,416995,208,34,['newage'],
Flyleaf,21417,64,6,"['alternative', 'rock']",http://en.wikipedia.org/wiki/Flyleaf (band)
Echo & The Bunnymen,2805,173,26,"['rock', 'alternative', 'pop']",http://en.wikipedia.org/wiki/Echo & the Bunnymen
Nancy Sinatra,51919,255,28,"['pop', 'country', 'foreignbard']",http://en.wikipedia.org/wiki/Nancy Sinatra
Sinéad O’Connor,6157,184,22,"['pop', 'rock', 'folk']",http://en.wikipedia.org/wiki/Sinéad O'Connor
Birdy,53844,118,31,"['alternative', 'pop', 'indie']",
Zedd,77750,126,34,"['dance', 'pop', 'electronics']",http://en.wikipedia.org/wiki/Zedd
Five Finger Death Punch,694568,129,15,['alternativemetal'],http://en.wikipedia.org/wiki/Five Finger Death Punch
Primal Scream,2678,163,13,['rock'],http://en.wikipedia.org/wiki/Primal Scream
Trivium,40948,151,20,['metalcoregenre'],http://en.wikipedia.org/wiki/Trivium (band)
Chicago,4704,521,74,"['rock', 'pop', 'holiday']",http://en.wikipedia.org/wiki/Chicago (band)
Lamb of God,29873,133,14,['thrashmetal'],http://en.wikipedia.org/wiki/Lamb of God (band)
James Blake,13894,117,24,['bassgenre'],http://en.wikipedia.org/wiki/James Blake (musician)
Hooverphonic,10467,126,9,['triphopgenre'],http://en.wikipedia.org/wiki/Hooverphonic
Broken Bells,4147,28,2,"['alternative', 'pop']",http://en.wikipedia.org/wiki/Broken Bells
Rilo Kiley,249,75,9,"['rock', 'alternative']",http://en.wikipedia.org/wiki/Rilo Kiley
Ladytron,5500,120,17,"['electronics', 'dance', 'rap']",http://en.wikipedia.org/wiki/Ladytron
Sam Cooke,69959,1157,294,"['rnb', 'pop', 'soul']",http://en.wikipedia.org/wiki/Sam Cooke
The Stooges,17858,201,25,"['rock', 'hardrock', 'punk']",http://en.wikipedia.org/wiki/The Stooges
Jane’s Addiction,1611,84,11,"['rock', 'alternative']",http://en.wikipedia.org/wiki/Jane's Addiction
Trapt,5416,100,22,"['rock', 'alternative']",http://en.wikipedia.org/wiki/Trapt
Пётр Ильич Чайковский,1271959,51357,4234,[],
My Morning Jacket,2459,149,16,"['rock', 'alternative']",http://en.wikipedia.org/wiki/My Morning Jacket
Hinder,12553,72,16,"['rock', 'alternative']",http://en.wikipedia.org/wiki/Hinder
Joshua Radin,873,132,24,"['foreignbard', 'folk', 'rock']",http://en.wikipedia.org/wiki/Joshua Radin
Shaggy,288179,520,102,"['reggae', 'pop', 'dance']",http://en.wikipedia.org/wiki/Shaggy (musician)
Selena Gomez & The Scene,9924,39,11,['pop'],http://en.wikipedia.org/wiki/Selena Gomez & the Scene
Nouvelle Vague,5528,145,17,"['pop', 'alternative', 'electronics']",http://en.wikipedia.org/wiki/Nouvelle Vague (band)
Disclosure,15310,139,40,"['electronics', 'dance', 'rnb']",http://en.wikipedia.org/wiki/Disclosure (band)
Jay Sean,1023488,161,39,"['pop', 'soul', 'dance']",http://en.wikipedia.org/wiki/Jay Sean
Tina Turner,54960,752,59,"['pop', 'rnb', 'soul']",http://en.wikipedia.org/wiki/Tina Turner
Nicole Scherzinger,80054,86,13,"['pop', 'rock', 'rap']",http://en.wikipedia.org/wiki/Nicole Scherzinger
Lauryn Hill,170,1,0,[],http://en.wikipedia.org/wiki/Lauryn Hill
Selena Gomez,498682,136,26,"['pop', 'dance', 'alternative']",http://en.wikipedia.org/wiki/Selena Gomez
Lady Antebellum,3824,178,24,"['country', 'dance', 'holiday']",http://en.wikipedia.org/wiki/Lady A
Elvis Costello,1489,697,55,"['rock', 'pop', 'jazz']",http://en.wikipedia.org/wiki/Elvis Costello
Frou Frou,790,15,3,['pop'],http://en.wikipedia.org/wiki/Frou Frou (band)
Far East Movement,43967,85,29,['edmgenre'],http://en.wikipedia.org/wiki/Far East Movement
City and Colour,4179,97,21,['indie'],
AWOLNATION,80129,113,15,"['alternative', 'rock', 'dance']",http://en.wikipedia.org/wiki/Awolnation
Willie Nelson,6513,1779,172,"['country', 'pop', 'estrada']",http://en.wikipedia.org/wiki/Willie Nelson
Guano Apes,190451,89,1,"['alternative', 'rock', 'numetal']",http://en.wikipedia.org/wiki/Guano Apes
Eddie Vedder,3892,79,8,"['rock', 'soundtrack', 'alternative']",http://en.wikipedia.org/wiki/Eddie Vedder
Clap Your Hands Say Yeah,404,103,8,"['alternative', 'rock', 'indie']",http://en.wikipedia.org/wiki/Clap Your Hands Say Yeah
Herbie Hancock,14709,815,100,"['jazz', 'pop', 'tradjazz']",http://en.wikipedia.org/wiki/Herbie Hancock
Theory of a Deadman,63539,103,21,"['rock', 'dance', 'alternative']",http://en.wikipedia.org/wiki/Theory of a Deadman
The Red Jumpsuit Apparatus,6592,43,17,['alternative'],http://en.wikipedia.org/wiki/The Red Jumpsuit Apparatus
Thin Lizzy,5999,196,27,"['rock', 'hardrock']",http://en.wikipedia.org/wiki/Thin Lizzy
Jeremih,30864,340,73,['rnb'],http://en.wikipedia.org/wiki/Jeremih
Will Smith,16268,83,4,"['rap', 'pop', 'rnb']",http://en.wikipedia.org/wiki/Will Smith
Télépopmusik,4130,94,21,['lounge'],http://en.wikipedia.org/wiki/Télépopmusik
Claude Debussy,189786,31361,3263,[],
Gossip,3122,101,12,['indie'],
St. Vincent,6489,159,25,['indie'],http://en.wikipedia.org/wiki/St. Vincent (musician)
Silverchair,1458,68,4,"['indie', 'rock', 'alternative']",http://en.wikipedia.org/wiki/Silverchair
Hilary Duff,7970,82,6,"['pop', 'holiday']",http://en.wikipedia.org/wiki/Hilary Duff
Ace of Base,212102,201,30,"['pop', 'dance', 'electronics']",http://en.wikipedia.org/wiki/Ace of Base
The Subways,32224,82,15,"['alternative', 'rock', 'indie']",http://en.wikipedia.org/wiki/The Subways
Friendly Fires,1149,75,21,"['electronics', 'dance', 'alternative']",http://en.wikipedia.org/wiki/Friendly Fires
James Taylor,614,943,69,"['rock', 'classical', 'pop']",http://en.wikipedia.org/wiki/James Taylor
B.B. King,595544,1622,331,"['blues', 'rnb', 'jazz']",http://en.wikipedia.org/wiki/B.B. King
Xzibit,35709,260,14,"['rap', 'pop', 'rnb']",http://en.wikipedia.org/wiki/Xzibit
Sam Smith,406854,135,42,"['pop', 'electronics', 'dance']",http://en.wikipedia.org/wiki/Sam Smith
Cobra Starship,1205,59,16,"['pop', 'dance', 'alternative']",http://en.wikipedia.org/wiki/Cobra Starship
*NSYNC,9643,78,1,['pop'],
Violent Femmes,914,113,11,"['rock', 'alternative', 'pop']",http://en.wikipedia.org/wiki/Violent Femmes
Shania Twain,6174,124,23,['pop'],http://en.wikipedia.org/wiki/Shania Twain
The Isley Brothers,6692,586,81,"['rnb', 'pop', 'soul']",http://en.wikipedia.org/wiki/The Isley Brothers
The Vines,2554,69,10,"['pop', 'rock', 'alternative']",http://en.wikipedia.org/wiki/The Vines (band)
Children of Bodom,50194,131,20,['deathmetal'],http://en.wikipedia.org/wiki/Children of Bodom
Tony Bennett,13943,1945,326,['vocaljazz'],http://en.wikipedia.org/wiki/Tony Bennett
The Pretenders,1515,203,24,"['rock', 'pop', 'electronics']",http://en.wikipedia.org/wiki/The Pretenders
3OH!3,4865,114,26,['electronics'],http://en.wikipedia.org/wiki/3OH!3
A$AP Rocky,694992,212,15,"['rap', 'pop', 'rnb']",http://en.wikipedia.org/wiki/ASAP Rocky
Blind Melon,388,55,12,"['pop', 'alternative', 'rock']",http://en.wikipedia.org/wiki/Blind Melon
Chamillionaire,15560,450,35,"['rap', 'pop']",http://en.wikipedia.org/wiki/Chamillionaire
Babyshambles,4187,66,13,['indie'],http://en.wikipedia.org/wiki/Babyshambles
Kraftwerk,14693,138,20,['electronics'],http://en.wikipedia.org/wiki/Kraftwerk
Portugal. The Man,121507,164,28,"['alternative', 'indie', 'dance']",http://en.wikipedia.org/wiki/Portugal. The Man
Bowling for Soup,2039,210,22,"['pop', 'rock', 'alternative']",http://en.wikipedia.org/wiki/Bowling for Soup
The Tallest Man on Earth,868,97,17,"['alternative', 'folk', 'pop']",http://en.wikipedia.org/wiki/The Tallest Man on Earth
Gang Starr,4143,154,11,['rap'],http://en.wikipedia.org/wiki/Gang Starr
Dolly Parton,12415,851,58,"['country', 'pop', 'holiday']",http://en.wikipedia.org/wiki/Dolly Parton
The Drums,19945,101,22,['indie'],http://en.wikipedia.org/wiki/The Drums
Sixpence None the Richer,2152,81,13,"['pop', 'rock']",http://en.wikipedia.org/wiki/Sixpence None the Richer
The Cars,7555,102,20,"['rock', 'pop', 'alternative']",http://en.wikipedia.org/wiki/The Cars
Hole,9236,73,8,"['alternative', 'rock', 'pop']",http://en.wikipedia.org/wiki/Hole (band)
Saliva,193171,116,15,['numetal'],http://en.wikipedia.org/wiki/Saliva (band)
Childish Gambino,60366,109,10,"['rap', 'soul', 'dance']",http://en.wikipedia.org/wiki/Donald Glover
Passenger,59695,146,18,['foreignbard'],http://en.wikipedia.org/wiki/Passenger (singer)
The Maccabees,4169,66,7,['indie'],http://en.wikipedia.org/wiki/The Maccabees (band)
t.A.T.u.,270964,67,12,['ruspop'],http://en.wikipedia.org/wiki/T.A.T.u.
Dio,42684,166,17,['classicmetal'],http://en.wikipedia.org/wiki/Dio (band)
Buffalo Springfield,12408,68,7,['folkrock'],http://en.wikipedia.org/wiki/Buffalo Springfield
Caribou,3639,95,11,"['electronics', 'idmgenre', 'alternative']",
Motion City Soundtrack,509,86,9,"['alternative', 'rock', 'punk']",http://en.wikipedia.org/wiki/Motion City Soundtrack
Howie Day,622,54,5,"['pop', 'rock', 'foreignbard']",http://en.wikipedia.org/wiki/Howie Day
Ben Folds,236,146,6,"['rock', 'pop', 'animated']",http://en.wikipedia.org/wiki/Ben Folds
Collective Soul,803,103,10,"['pop', 'rock', 'indie']",http://en.wikipedia.org/wiki/Collective Soul
Bonnie Tyler,22363,267,22,"['pop', 'rock', 'electronics']",http://en.wikipedia.org/wiki/Bonnie Tyler
The Naked and Famous,11435,103,15,"['alternative', 'indie', 'pop']",http://en.wikipedia.org/wiki/The Naked and Famous
Lloyd Banks,17733,212,18,"['rap', 'foreignrap', 'folk']",http://en.wikipedia.org/wiki/Lloyd Banks
Toni Braxton,24831,136,18,['pop'],http://en.wikipedia.org/wiki/Toni Braxton
Ludovico Einaudi,472649,355,38,['modern'],http://en.wikipedia.org/wiki/Ludovico Einaudi
The Last Shadow Puppets,7371,36,4,['alternative'],http://en.wikipedia.org/wiki/The Last Shadow Puppets
Four Tet,5243,222,35,['idmgenre'],http://en.wikipedia.org/wiki/Four Tet
Rancid,297804,200,12,"['punk', 'rock', 'ska']",http://en.wikipedia.org/wiki/Rancid (band)
Tinie Tempah,9972,145,34,"['rap', 'dance', 'pop']",http://en.wikipedia.org/wiki/Tinie Tempah
Savage Garden,11748,38,0,['pop'],http://en.wikipedia.org/wiki/Savage Garden
The Presidents of the United States of America,510,45,1,"['rock', 'pop', 'alternative']",http://en.wikipedia.org/wiki/The Presidents of the United States of America (band)
Everclear,1268,158,18,"['rock', 'alternative', 'punk']",http://en.wikipedia.org/wiki/Everclear (band)
The Human League,1488,164,23,"['pop', 'house', 'dance']",http://en.wikipedia.org/wiki/The Human League
Vanessa Carlton,567,75,18,['foreignbard'],http://en.wikipedia.org/wiki/Vanessa Carlton
Nada Surf,688,133,21,['indie'],http://en.wikipedia.org/wiki/Nada Surf
Soft Cell,2000,135,25,"['pop', 'electronics', 'dance']",http://en.wikipedia.org/wiki/Soft Cell
CeeLo Green,3706,266,35,['rap'],http://en.wikipedia.org/wiki/CeeLo Green
My Bloody Valentine,7205,52,4,['alternative'],http://en.wikipedia.org/wiki/My Bloody Valentine (band)
The Zombies,21847,159,19,"['rock', 'pop', 'foreignbard']",http://en.wikipedia.org/wiki/The Zombies
Emilíana Torrini,6485,100,16,['foreignbard'],http://en.wikipedia.org/wiki/Emilíana Torrini
The Doobie Brothers,1364,192,30,"['rock', 'pop', 'foreignbard']",http://en.wikipedia.org/wiki/The Doobie Brothers
Curren$y,1479,797,96,"['rap', 'soul']",http://en.wikipedia.org/wiki/Currensy
Jordin Sparks,1215,99,12,"['pop', 'dance', 'soul']",http://en.wikipedia.org/wiki/Jordin Sparks
The Streets,1800,157,38,['ukgaragegenre'],http://en.wikipedia.org/wiki/The Streets
The Calling,2536,26,0,"['rock', 'pop', 'holiday']",
Biffy Clyro,10005,212,43,"['alternative', 'rock']",http://en.wikipedia.org/wiki/Biffy Clyro
Nightmares on Wax,1548,18,6,['triphopgenre'],http://en.wikipedia.org/wiki/Nightmares on Wax
Switchfoot,3499,171,24,"['alternative', 'rock', 'electronics']",http://en.wikipedia.org/wiki/Switchfoot
Christina Perri,12645,93,17,"['pop', 'children', 'holiday']",http://en.wikipedia.org/wiki/Christina Perri
Local Natives,1052,86,18,['indie'],http://en.wikipedia.org/wiki/Local Natives
The Hollies,4112,459,53,"['pop', 'rock', 'foreignbard']",http://en.wikipedia.org/wiki/The Hollies
Architecture in Helsinki,605,53,6,['indie'],http://en.wikipedia.org/wiki/Architecture in Helsinki
Amy Macdonald,78823,83,16,"['pop', 'rock', 'foreignbard']",http://en.wikipedia.org/wiki/Amy Macdonald
Velvet Revolver,2537,35,2,['hardrock'],http://en.wikipedia.org/wiki/Velvet Revolver
Diana Ross,52182,736,75,"['pop', 'rnb', 'soul']",http://en.wikipedia.org/wiki/Diana Ross
Grateful Dead,3857,888,177,"['rock', 'foreignbard', 'folkrock']",http://en.wikipedia.org/wiki/Grateful Dead
Hozier,227905,52,11,['indie'],http://en.wikipedia.org/wiki/Hozier (musician)
Duke Ellington,73522,8087,1046,['tradjazz'],http://en.wikipedia.org/wiki/Duke Ellington
Katie Melua,113856,156,22,['vocaljazz'],http://en.wikipedia.org/wiki/Katie Melua
Patti Smith,5114,216,8,"['rock', 'alternative', 'pop']",http://en.wikipedia.org/wiki/Patti Smith
Hot Hot Heat,1053,75,13,"['alternative', 'rock', 'rnr']",http://en.wikipedia.org/wiki/Hot Hot Heat
Sepultura,60617,274,26,['thrashmetal'],http://en.wikipedia.org/wiki/Sepultura
Crossfade,3394,31,1,"['alternative', 'rock']",http://en.wikipedia.org/wiki/Crossfade (band)
Fuel,0,0,0,[],
The Rapture,2962,37,5,"['pop', 'rock', 'indie']",http://en.wikipedia.org/wiki/The Rapture (band)
Franz Schubert,138322,59576,4783,"['classical', 'classicalmasterpieces', 'pop']",
Styx,7971,205,27,['hardrock'],http://en.wikipedia.org/wiki/Styx (band)
Misfits,92325,152,11,"['punk', 'rock', 'hardcore']",http://en.wikipedia.org/wiki/Misfits (band)
Machine Head,30014,131,22,['thrashmetal'],http://en.wikipedia.org/wiki/Machine Head (band)
Parov Stelar,164168,243,53,['lounge'],http://en.wikipedia.org/wiki/Parov Stelar
Howard Shore,6771,1046,78,"['films', 'soundtrack', 'classical']",
Nero,63372,77,17,['electronics'],http://en.wikipedia.org/wiki/Nero (band)
Buddy Holly,77213,1184,254,"['rock', 'rnr', 'pop']",http://en.wikipedia.org/wiki/Buddy Holly
Public Enemy,14365,331,37,"['rap', 'foreignrap', 'dance']",http://en.wikipedia.org/wiki/Public Enemy
Annie Lennox,11578,207,4,"['pop', 'holiday', 'dance']",http://en.wikipedia.org/wiki/Annie Lennox
Mobb Deep,15714,216,10,"['rap', 'foreignrap', 'rnb']",http://en.wikipedia.org/wiki/Mobb Deep
Coolio,55467,174,23,"['rap', 'pop', 'house']",http://en.wikipedia.org/wiki/Coolio
The Darkness,2310,63,18,['hardrock'],http://en.wikipedia.org/wiki/The Darkness (band)
Frank Wilson,8,26,0,[],http://en.wikipedia.org/wiki/Frank Wilson (director)
Grimes,40937,102,12,"['electronics', 'alternative', 'pop']",http://en.wikipedia.org/wiki/Grimes
Mando Diao,18009,244,46,"['pop', 'rock', 'folk']",http://en.wikipedia.org/wiki/Mando Diao
Angels & Airwaves,11240,85,14,"['alternative', 'rock', 'dance']",http://en.wikipedia.org/wiki/Angels & Airwaves
CSS,70,31,7,['rusrap'],http://en.wikipedia.org/wiki/CSS (band)
Anthrax,30393,192,30,['thrashmetal'],http://en.wikipedia.org/wiki/Anthrax (American band)
Hollywood Undead,433836,130,15,['alternativemetal'],http://en.wikipedia.org/wiki/Hollywood Undead
Silversun Pickups,4303,57,15,['alternative'],http://en.wikipedia.org/wiki/Silversun Pickups
Sly & the Family Stone,5858,280,29,"['rnb', 'soul', 'funk']",http://en.wikipedia.org/wiki/Sly and the Family Stone
Chris Cornell,8356,99,13,"['rock', 'pop', 'alternative']",http://en.wikipedia.org/wiki/Chris Cornell
Peggy Lee,153523,3435,478,['vocaljazz'],http://en.wikipedia.org/wiki/Peggy Lee
ATB,575315,253,59,['trance'],http://en.wikipedia.org/wiki/ATB
Rainbow,175145,130,26,"['hardrock', 'rock']",http://en.wikipedia.org/wiki/Rainbow (rock band)
Donna Summer,179325,343,37,"['pop', 'electronics', 'dance']",http://en.wikipedia.org/wiki/Donna Summer
America,1112,258,46,"['rock', 'pop', 'holiday']",http://en.wikipedia.org/wiki/America (band)
Philip Glass,10433,319,38,"['classical', 'films', 'pop']",http://en.wikipedia.org/wiki/Philip Glass
Escape the Fate,280884,102,14,['posthardcore'],http://en.wikipedia.org/wiki/Escape the Fate
De La Soul,6195,225,23,['foreignrap'],http://en.wikipedia.org/wiki/De La Soul
Waka Flocka Flame,18809,823,75,"['rap', 'dance', 'foreignrap']",http://en.wikipedia.org/wiki/Waka Flocka Flame
Rascal Flatts,866,190,24,"['country', 'pop']",http://en.wikipedia.org/wiki/Rascal Flatts
Chet Baker,44229,3907,634,['bebopgenre'],http://en.wikipedia.org/wiki/Chet Baker
Athlete,4143,80,17,"['pop', 'rock', 'alternative']",http://en.wikipedia.org/wiki/Athlete (band)
Finger Eleven,4095,74,10,"['alternative', 'rock']",http://en.wikipedia.org/wiki/Finger Eleven
The Album Leaf,29179,253,27,"['alternative', 'electronics', 'soundtrack']",http://en.wikipedia.org/wiki/The Album Leaf
Amon Tobin,4674,213,39,"['electronics', 'alternative', 'videogame']",http://en.wikipedia.org/wiki/Amon Tobin
Brandy,5362,219,34,"['rap', 'rnb', 'pop']",http://en.wikipedia.org/wiki/Brandy Norwood
The Monkees,2436,271,37,"['pop', 'rock', 'holiday']",http://en.wikipedia.org/wiki/The Monkees
Ashlee Simpson,730,49,9,['pop'],http://en.wikipedia.org/wiki/Ashlee Simpson
Jack White,19317,73,9,"['alternative', 'rock', 'soundtrack']",http://en.wikipedia.org/wiki/Jack White
Eagle‐Eye Cherry,1682,93,16,"['pop', 'rock', 'dance']",http://en.wikipedia.org/wiki/Eagle-Eye Cherry
Anberlin,9940,116,18,"['alternative', 'rock', 'indie']",http://en.wikipedia.org/wiki/Anberlin
Jewel,434,250,33,['pop'],http://en.wikipedia.org/wiki/Jewel (singer)
JoJo,1404,220,43,"['rnb', 'pop', 'rap']",http://en.wikipedia.org/wiki/JoJo (singer)
As I Lay Dying,26903,102,10,['metalcoregenre'],http://en.wikipedia.org/wiki/As I Lay Dying (band)
The Veronicas,3443,79,14,"['pop', 'dance', 'alternative']",http://en.wikipedia.org/wiki/The Veronicas
Simply Red,8701,188,21,"['pop', 'relax']",http://en.wikipedia.org/wiki/Simply Red
Dope,153810,108,8,['numetal'],http://en.wikipedia.org/wiki/Dope (band)
UB40,56305,341,48,"['reggae', 'pop', 'dub']",http://en.wikipedia.org/wiki/UB40
Grouplove,5037,108,26,['indie'],http://en.wikipedia.org/wiki/Grouplove
Semisonic,1053,51,5,"['rock', 'pop']",http://en.wikipedia.org/wiki/Semisonic
Fever Ray,8711,9,1,"['alternative', 'electronics']",http://en.wikipedia.org/wiki/Karin Dreijer
Ben Howard,16017,67,12,"['foreignbard', 'folk']",http://en.wikipedia.org/wiki/Ben Howard
Men at Work,1403,40,2,"['pop', 'rock', 'electronics']",http://en.wikipedia.org/wiki/Men at Work
Donovan,2438,414,47,"['rock', 'pop', 'folk']",http://en.wikipedia.org/wiki/Donovan
Craig David,55645,169,15,"['pop', 'dance', 'rnb']",http://en.wikipedia.org/wiki/Craig David
Metronomy,12761,146,39,"['electronics', 'alternative', 'indie']",http://en.wikipedia.org/wiki/Metronomy
Bob Sinclar,33246,275,66,"['dance', 'house', 'electronics']",http://en.wikipedia.org/wiki/Bob Sinclar
Brad Paisley,1455,237,3,"['country', 'holiday']",http://en.wikipedia.org/wiki/Brad Paisley
